"SITE","USERNAME","CATEGORY","LINK"
"DockerHub","tatendaty","coding","https://hub.docker.com/v2/users/tatendaty/"
"Flipboard","tatendaty","tech","https://flipboard.com/@tatendaty"
"GitHub","tatendaty","coding","https://github.com/tatendaty"
"Instagram2","tatendaty","social","https://instagram.com/tatendaty"
"Internet Archive..","tatendaty","misc","https://archive.org/search.php?query=tatendaty"
"RumbleUser","tatendaty","political","https://rumble.com/user/tatendaty"
"Snapchat Stories","dennis05tatenda","social","https://story.snapchat.com/s/dennis05tatenda"
"Snapchat Stories","tatendaty","social","https://story.snapchat.com/s/tatendaty"
"TikTok","tatendaty","social","https://www.tiktok.com/@tatendaty?lang=en"
"unsplash","tatendaty","images","https://unsplash.com/@tatendaty"
"Yazawaj","dennis05tatenda","dating","https://www.yazawaj.com/profile/dennis05tatenda"
"Yazawaj","tatendaty","dating","https://www.yazawaj.com/profile/tatendaty"